C9800-CL,Cisco Catalyst 9800-CL Wireless Controller for Cloud,16.10.1e,10.93.130.31,9L2L5LZBF76
LKO2-RU6-R10-TOR3650,Cisco Catalyst 3650 Switch Stack,16.9.2,10.93.130.248,FDO1915E0EG
NYC-9300,Cisco Catalyst 9300 Switch,16.9.2,10.93.130.21,FCW2123L0N3
NYC-RO,Cisco Cloud Services Router 1000V,16.9.2,10.93.140.33,99YZN3AUH3U
PDX-3850-CAMPUS,Cisco Catalyst38xx stack-able ethernet switch,16.9.2,10.93.130.47,FCW2002D0HM
PDX-9300,Cisco Catalyst 9300 Switch,16.9.2,10.93.130.43,FCW2124L0JE
PDX-CORE-3850,Cisco Catalyst38xx stack-able ethernet switch,16.9.2,10.93.130.46,FOC1802X0SC
PDX-DMZ,Unsupported Cisco Device,15.4(3)M10,10.93.130.38,FTX192880UM
PDX-RN,Cisco Cloud Services Router 1000V,16.9.2,10.93.130.42,9XIF5ZTLXRB
PDX-RO,Cisco Cloud Services Router 1000V,16.9.2,10.93.140.25,92ML86IWCBN
SP,Cisco Cloud Services Router 1000V,16.9.2,10.93.140.29,999R1FFKGSU
